2026-03-06 18:09:25 | INFO     | MSSP | Log file: ./results/step_b_real/step_b_mssp.log
2026-03-06 18:09:25 | INFO     | MSSP.validation | MSSP Step B Validation
2026-03-06 18:09:25 | INFO     | MSSP.validation | Args: {'mock': False, 'data_dir': '/data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a', 'model_path': '/data/lizihao/AIGC/AIGCDetectBenchmark-main/weights/preprocessing/256x256_diffusion_uncond.pt', 'num_samples': 50, 'output_dir': './results/step_b_real', 'device': 'cuda', 'batch_size': 4, 'image_size': 256, 'seed': 42, 'skip_tests': ''}
2026-03-06 18:09:25 | INFO     | MSSP.validation | Loading data from /data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a...
2026-03-06 18:09:27 | INFO     | MSSP.validation | Loaded Real: 50 images from /data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a/ProGAN/0_real
2026-03-06 18:09:28 | INFO     | MSSP.validation | Loaded ProGAN: 50 images from /data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a/ProGAN/1_fake
2026-03-06 18:09:30 | INFO     | MSSP.validation | Loaded SD_v1.5: 50 images from /data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a/SD_v1.5/1_fake
2026-03-06 18:09:31 | INFO     | MSSP.validation | Loaded Wukong: 50 images from /data/lizihao/AIGC/AIGCDetectBenchmark-main/DRIFT/data/step_a/Wukong/1_fake
2026-03-06 18:09:31 | INFO     | MSSP.validation | Data loaded: 4 categories, {'Real': 50, 'ProGAN': 50, 'SD_v1.5': 50, 'Wukong': 50}
2026-03-06 18:09:31 | INFO     | MSSP.validation | Initialising MSSPBackbone (mock=False)...
2026-03-06 18:09:41 | INFO     | MSSP.validation | Feature extractor: dim=185
2026-03-06 18:09:41 | INFO     | MSSP.validation | Extracting 185D MSSP features...
2026-03-06 18:09:41 | INFO     | MSSP.validation | Extracting features for 'ProGAN' (50 images)...
2026-03-06 18:10:35 | INFO     | MSSP.validation |   Done: 50 images in 54.0s (0.93 img/s)
2026-03-06 18:10:35 | INFO     | MSSP.validation | Extracting features for 'Real' (50 images)...
2026-03-06 18:11:26 | INFO     | MSSP.validation |   Done: 50 images in 51.0s (0.98 img/s)
2026-03-06 18:11:26 | INFO     | MSSP.validation | Extracting features for 'SD_v1.5' (50 images)...
2026-03-06 18:12:19 | INFO     | MSSP.validation |   Done: 50 images in 53.0s (0.94 img/s)
2026-03-06 18:12:19 | INFO     | MSSP.validation | Extracting features for 'Wukong' (50 images)...
2026-03-06 18:12:56 | INFO     | MSSP.validation |   Done: 50 images in 37.0s (1.35 img/s)
2026-03-06 18:12:56 | INFO     | MSSP.validation | Features cached: ./results/step_b_real/mssp_features.npz (shape=(200, 185))
2026-03-06 18:12:56 | INFO     | MSSP.validation | Extracting raw residuals for PSD analysis...
2026-03-06 18:12:56 | INFO     | MSSP.validation | Extracting residuals for 'Real' (50 images)...
2026-03-06 18:13:06 | INFO     | MSSP.validation | Extracting residuals for 'ProGAN' (50 images)...
2026-03-06 18:13:15 | INFO     | MSSP.validation | Extracting residuals for 'SD_v1.5' (50 images)...
2026-03-06 18:13:25 | INFO     | MSSP.validation | Extracting residuals for 'Wukong' (50 images)...
2026-03-06 18:13:36 | INFO     | MSSP.validation | === Test 1: GAN High-Frequency PSD (t=200) ===
2026-03-06 18:13:36 | INFO     | MSSP.validation |   Real: mean high-freq power = 9.3046 ± 0.0270
2026-03-06 18:13:36 | INFO     | MSSP.validation |   ProGAN: mean high-freq power = 9.3035 ± 0.0222
2026-03-06 18:13:36 | INFO     | MSSP.validation |   SD_v1.5: mean high-freq power = 9.3064 ± 0.0171
2026-03-06 18:13:36 | INFO     | MSSP.validation |   Wukong: mean high-freq power = 9.3077 ± 0.0199
2026-03-06 18:13:36 | INFO     | MSSP.validation |   ProGAN/Real high-freq ratio = 1.000 (threshold > 2.0) → FAIL
2026-03-06 18:13:36 | INFO     | MSSP.validation |   Saved: ./results/step_b_real/test1_gan_hf_psd.png
2026-03-06 18:13:37 | INFO     | MSSP.validation | === Test 2: SD VAE 8px Artifact (t=400, t=600) ===
2026-03-06 18:13:37 | INFO     | MSSP.validation |   VAE artifact band: f ∈ [0.1250, 0.1875] (band index 2/8)
2026-03-06 18:13:37 | INFO     | MSSP.validation |   t=400: SD mean=6.6641, Real mean=7.1864, z-score=-1.700 (threshold > 2.0) → FAIL
2026-03-06 18:13:37 | INFO     | MSSP.validation |   t=600: SD mean=2.8533, Real mean=3.8211, z-score=-1.311 (threshold > 2.0) → FAIL
2026-03-06 18:13:38 | INFO     | MSSP.validation |   Saved: ./results/step_b_real/test2_vae_artifact.png
2026-03-06 18:13:38 | INFO     | MSSP.validation | === Test 3: k-NN Classification (k=5, 5-fold CV) ===
2026-03-06 18:13:38 | INFO     | MSSP.validation |   Fold 1/5: accuracy = 32.5%
2026-03-06 18:13:39 | INFO     | MSSP.validation |   Fold 2/5: accuracy = 42.5%
2026-03-06 18:13:39 | INFO     | MSSP.validation |   Fold 3/5: accuracy = 47.5%
2026-03-06 18:13:39 | INFO     | MSSP.validation |   Fold 4/5: accuracy = 27.5%
2026-03-06 18:13:40 | INFO     | MSSP.validation |   Fold 5/5: accuracy = 35.0%
2026-03-06 18:13:40 | INFO     | MSSP.validation |   Overall: 37.0% ± 7.1% (threshold ≥ 84%) → FAIL
2026-03-06 18:13:40 | INFO     | MSSP.validation |   DRIFT baseline (step_a Test5): 84.0% ± 3.6%
2026-03-06 18:13:40 | INFO     | MSSP.validation |   Saved: ./results/step_b_real/test3_knn_accuracy.png
2026-03-06 18:13:40 | INFO     | MSSP.validation | === Test 4: Multi-Scale PSD Visualization ===
2026-03-06 18:13:47 | INFO     | MSSP.validation |   Saved: ./results/step_b_real/test4_multiscale_psd.png
2026-03-06 18:13:47 | INFO     | MSSP.validation | Report saved: ./results/step_b_real/step_b_report.txt
2026-03-06 18:13:47 | INFO     | MSSP.validation | JSON results: ./results/step_b_real/step_b_results.json
2026-03-06 18:13:47 | INFO     | MSSP.validation | Total time: 262.0s
